DEBUG | [probe] Logging set to DEBUG; file=/Users/hayden/Developer/Currency-Exchange-Problems/logs/debug.log
DEBUG | relax u=1 -> v=0: 0 -> -0.425921 pred[0]=1
DEBUG | relax u=2 -> v=0: -0.425921 -> -0.537078 pred[0]=2
DEBUG | relax u=2 -> v=1: 0 -> -0.0478373 pred[1]=2
DEBUG | relax u=0 -> v=1: -0.0478373 -> -0.107832 pred[1]=0
DEBUG | relax u=0 -> v=3: 0 -> -0.537078 pred[3]=0
DEBUG | relax u=0 -> v=4: 0 -> -0.537078 pred[4]=0
DEBUG | relax u=1 -> v=2: 0 -> -0.0586421 pred[2]=1
DEBUG | relax u=2 -> v=0: -0.537078 -> -0.59572 pred[0]=2
DEBUG | relax u=3 -> v=1: -0.107832 -> -0.537078 pred[1]=3
DEBUG | relax u=3 -> v=2: -0.0586421 -> -0.537078 pred[2]=3
DEBUG | relax u=0 -> v=3: -0.537078 -> -0.59572 pred[3]=0
DEBUG | relax u=0 -> v=4: -0.537078 -> -0.59572 pred[4]=0
DEBUG | relax u=1 -> v=0: -0.59572 -> -0.962999 pred[0]=1
DEBUG | relax u=2 -> v=0: -0.962999 -> -1.07416 pred[0]=2
DEBUG | relax u=2 -> v=1: -0.537078 -> -0.584915 pred[1]=2
DEBUG | relax u=3 -> v=1: -0.584915 -> -0.59572 pred[1]=3
DEBUG | relax u=3 -> v=2: -0.537078 -> -0.59572 pred[2]=3
DEBUG | [probe] BF entered
DEBUG | relax u=0 -> v=1: 1e+300 -> 0.105361 pred[1]=0
DEBUG | relax u=0 -> v=2: 1e+300 -> 0.223144 pred[2]=0
DEBUG | relax u=1 -> v=2: 0.223144 -> 0.156654 pred[2]=1
DEBUG | [probe] BF entered
DEBUG | relax u=1 -> v=0: 1e+300 -> -0.0953102 pred[0]=1
DEBUG | relax u=1 -> v=2: 1e+300 -> 0.0512933 pred[2]=1
DEBUG | [probe] BF entered
DEBUG | relax u=2 -> v=0: 1e+300 -> -0.0953102 pred[0]=2
DEBUG | relax u=2 -> v=1: 1e+300 -> -0.0198026 pred[1]=2
DEBUG | relax u=1 -> v=0: -0.0953102 -> -0.115113 pred[0]=1
DEBUG | [probe] BF entered
DEBUG | relax u=0 -> v=1: 1e+300 -> 0 pred[1]=0
DEBUG | relax u=0 -> v=2: 1e+300 -> 0 pred[2]=0
DEBUG | relax u=0 -> v=3: 1e+300 -> 0 pred[3]=0
DEBUG | relax u=0 -> v=4: 1e+300 -> 0 pred[4]=0
DEBUG | [probe] BF entered
DEBUG | relax u=1 -> v=0: 1e+300 -> 0 pred[0]=1
DEBUG | relax u=1 -> v=2: 1e+300 -> 0 pred[2]=1
DEBUG | relax u=1 -> v=3: 1e+300 -> 0 pred[3]=1
DEBUG | relax u=1 -> v=4: 1e+300 -> 0 pred[4]=1
DEBUG | [probe] BF entered
DEBUG | relax u=2 -> v=0: 1e+300 -> 0 pred[0]=2
DEBUG | relax u=2 -> v=1: 1e+300 -> 0 pred[1]=2
DEBUG | relax u=2 -> v=3: 1e+300 -> 0 pred[3]=2
DEBUG | relax u=2 -> v=4: 1e+300 -> 0 pred[4]=2
DEBUG | [probe] BF entered
DEBUG | relax u=3 -> v=0: 1e+300 -> 0 pred[0]=3
DEBUG | relax u=3 -> v=1: 1e+300 -> 0 pred[1]=3
DEBUG | relax u=3 -> v=2: 1e+300 -> 0 pred[2]=3
DEBUG | relax u=3 -> v=4: 1e+300 -> 0 pred[4]=3
DEBUG | [probe] BF entered
DEBUG | relax u=4 -> v=0: 1e+300 -> 0 pred[0]=4
DEBUG | relax u=4 -> v=1: 1e+300 -> 0 pred[1]=4
DEBUG | relax u=4 -> v=2: 1e+300 -> 0 pred[2]=4
DEBUG | relax u=4 -> v=3: 1e+300 -> 0 pred[3]=4
DEBUG | [probe] BF entered
DEBUG | relax u=0 -> v=1: 1e+300 -> 0.693147 pred[1]=0
DEBUG | relax u=0 -> v=2: 1e+300 -> 0.105361 pred[2]=0
DEBUG | relax u=0 -> v=3: 1e+300 -> 0.105361 pred[3]=0
DEBUG | relax u=0 -> v=4: 1e+300 -> 0.693147 pred[4]=0
DEBUG | relax u=2 -> v=4: 0.693147 -> 0.105361 pred[4]=2
DEBUG | relax u=3 -> v=1: 0.693147 -> 0.105361 pred[1]=3
DEBUG | [probe] BF entered
DEBUG | relax u=1 -> v=0: 1e+300 -> 0.223144 pred[0]=1
DEBUG | relax u=1 -> v=2: 1e+300 -> 0.223144 pred[2]=1
DEBUG | relax u=1 -> v=3: 1e+300 -> 0 pred[3]=1
DEBUG | relax u=1 -> v=4: 1e+300 -> 0 pred[4]=1
DEBUG | relax u=3 -> v=0: 0.223144 -> 0 pred[0]=3
DEBUG | relax u=3 -> v=2: 0.223144 -> 0 pred[2]=3
DEBUG | [probe] BF entered
DEBUG | relax u=2 -> v=0: 1e+300 -> 0 pred[0]=2
DEBUG | relax u=2 -> v=1: 1e+300 -> 0.693147 pred[1]=2
DEBUG | relax u=2 -> v=3: 1e+300 -> 0 pred[3]=2
DEBUG | relax u=2 -> v=4: 1e+300 -> 0 pred[4]=2
DEBUG | relax u=3 -> v=1: 0.693147 -> 0 pred[1]=3
DEBUG | [probe] BF entered
DEBUG | relax u=3 -> v=0: 1e+300 -> 0 pred[0]=3
DEBUG | relax u=3 -> v=1: 1e+300 -> 0 pred[1]=3
DEBUG | relax u=3 -> v=2: 1e+300 -> 0 pred[2]=3
DEBUG | relax u=3 -> v=4: 1e+300 -> 0 pred[4]=3
DEBUG | [probe] BF entered
DEBUG | relax u=4 -> v=0: 1e+300 -> 0 pred[0]=4
DEBUG | relax u=4 -> v=1: 1e+300 -> 0 pred[1]=4
DEBUG | relax u=4 -> v=2: 1e+300 -> 0 pred[2]=4
DEBUG | relax u=4 -> v=3: 1e+300 -> 0 pred[3]=4
DEBUG | [probe] BF entered
DEBUG | relax u=0 -> v=1: 1e+300 -> -0.518794 pred[1]=0
DEBUG | relax u=0 -> v=2: 1e+300 -> -0.41871 pred[2]=0
DEBUG | relax u=0 -> v=3: 1e+300 -> 0.0812101 pred[3]=0
DEBUG | relax u=0 -> v=4: 1e+300 -> -5.02887 pred[4]=0
DEBUG | relax u=1 -> v=0: 0 -> -0.00295563 pred[0]=1
DEBUG | relax u=1 -> v=2: -0.41871 -> -0.423384 pred[2]=1
DEBUG | relax u=1 -> v=3: 0.0812101 -> 0.0790432 pred[3]=1
DEBUG | relax u=1 -> v=4: -5.02887 -> -5.03207 pred[4]=1
DEBUG | relax u=3 -> v=1: -0.518794 -> -0.519793 pred[1]=3
DEBUG | relax u=4 -> v=0: -0.00295563 -> -0.0702228 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.519793 -> -0.522208 pred[1]=4
DEBUG | relax u=4 -> v=2: -0.423384 -> -0.426898 pred[2]=4
DEBUG | relax u=0 -> v=1: -0.522208 -> -0.589017 pred[1]=0
DEBUG | relax u=0 -> v=2: -0.426898 -> -0.488933 pred[2]=0
DEBUG | relax u=0 -> v=3: 0.0790432 -> 0.0109872 pred[3]=0
DEBUG | relax u=0 -> v=4: -5.03207 -> -5.09909 pred[4]=0
DEBUG | relax u=1 -> v=0: -0.0702228 -> -0.0731785 pred[0]=1
DEBUG | relax u=1 -> v=2: -0.488933 -> -0.493606 pred[2]=1
DEBUG | relax u=1 -> v=3: 0.0109872 -> 0.00882037 pred[3]=1
DEBUG | relax u=1 -> v=4: -5.09909 -> -5.10229 pred[4]=1
DEBUG | relax u=3 -> v=1: -0.589017 -> -0.590016 pred[1]=3
DEBUG | relax u=4 -> v=0: -0.0731785 -> -0.140446 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.590016 -> -0.592431 pred[1]=4
DEBUG | relax u=4 -> v=2: -0.493606 -> -0.497121 pred[2]=4
DEBUG | relax u=0 -> v=1: -0.592431 -> -0.659239 pred[1]=0
DEBUG | relax u=0 -> v=2: -0.497121 -> -0.559156 pred[2]=0
DEBUG | relax u=0 -> v=3: 0.00882037 -> -0.0592356 pred[3]=0
DEBUG | relax u=0 -> v=4: -5.10229 -> -5.16931 pred[4]=0
DEBUG | relax u=1 -> v=0: -0.140446 -> -0.143401 pred[0]=1
DEBUG | relax u=1 -> v=2: -0.559156 -> -0.563829 pred[2]=1
DEBUG | relax u=1 -> v=3: -0.0592356 -> -0.0614025 pred[3]=1
